m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
10240,128,5120,1,2,1,1
10240,144,5120,1,2,1,1
10240,160,5120,1,2,2,1
10240,176,5120,1,2,2,1
10240,192,5120,1,2,2,1
10240,208,5120,1,2,2,1
10240,224,5120,1,2,2,1
10240,240,5120,1,2,2,1
10240,256,5120,1,2,2,1
51200,16,5120,1,2,1,1
51200,32,5120,1,2,1,1
51200,48,5120,1,2,1,1
51200,64,5120,1,2,1,1
51200,80,5120,1,2,1,1
51200,96,5120,1,2,1,1
51200,112,5120,1,2,1,1
51200,128,5120,1,2,1,1
51200,144,5120,1,2,3,1
51200,160,5120,1,2,2,1
51200,176,5120,1,2,2,1
51200,192,5120,1,2,2,1
51200,208,5120,1,2,2,1
51200,224,5120,1,2,2,1
51200,240,5120,1,2,2,1
51200,256,5120,1,2,2,1
4096,16,8192,1,1,1,3
4096,32,8192,1,1,1,3
4096,48,8192,1,2,1,3
4096,64,8192,1,2,1,3
4096,80,8192,1,2,1,3
4096,96,8192,1,2,2,3
4096,112,8192,1,2,2,3
4096,128,8192,1,2,3,1
4096,144,8192,1,2,3,1
4096,160,8192,1,2,3,1
4096,176,8192,1,2,3,1
4096,192,8192,1,2,3,1
4096,208,8192,1,2,3,1
4096,224,8192,1,2,3,1
4096,240,8192,1,2,3,1
4096,256,8192,1,2,3,1
512,16,8192,1,1,1,4
512,32,8192,1,1,2,4
512,48,8192,1,1,3,4
512,64,8192,1,1,4,3
512,80,8192,1,1,3,4
512,96,8192,1,1,3,4
512,112,8192,1,1,4,3
512,128,8192,1,1,4,3
512,144,8192,1,1,3,4
512,160,8192,1,1,4,3
512,176,8192,1,1,4,3
512,192,8192,1,1,4,3
512,208,8192,1,1,4,3
512,224,8192,1,1,4,3
512,240,8192,1,1,4,3
512,256,8192,1,1,4,3
8192,16,4096,1,2,1,3
8192,32,4096,1,2,1,3
8192,48,4096,1,2,1,1
8192,64,4096,1,2,1,1
8192,80,4096,1,2,1,1
8192,96,4096,1,2,3,1
8192,112,4096,1,2,3,1
8192,128,4096,1,2,3,1
8192,144,4096,1,2,3,1
8192,160,4096,1,2,3,1
8192,176,4096,1,2,3,1
8192,192,4096,1,2,3,1
8192,208,4096,1,2,3,1
8192,224,4096,1,2,3,1
8192,240,4096,1,2,3,1
8192,256,4096,1,2,3,1
14336,16,8192,1,2,1,4
14336,32,8192,1,2,1,3
14336,48,8192,1,2,1,3
14336,64,8192,1,2,1,1
14336,80,8192,1,2,2,1
14336,96,8192,1,2,2,1
14336,112,8192,1,2,2,1
14336,128,8192,1,2,2,1
14336,144,8192,1,2,3,1
14336,160,8192,1,2,3,1
14336,176,8192,1,2,3,1
14336,192,8192,1,2,3,1
14336,208,8192,1,2,4,1
14336,224,8192,1,2,4,1
14336,240,8192,1,2,4,1
14336,256,8192,1,2,4,1
8192,16,14336,1,1,1,1
8192,32,14336,1,2,1,1
8192,48,14336,1,2,1,1
8192,64,14336,2,128,64,128
8192,80,14336,1,2,1,1
8192,96,14336,1,2,3,1
8192,112,14336,1,2,1,1
8192,128,14336,1,2,3,1
8192,144,14336,1,2,3,1
8192,160,14336,1,2,3,1
8192,176,14336,2,128,64,128
8192,192,14336,1,2,3,1
8192,208,14336,1,2,3,1
8192,224,14336,1,2,3,1
8192,240,14336,1,2,3,1
8192,256,14336,1,2,3,1
5120,16,8192,1,2,1,4
5120,32,8192,1,2,1,4
5120,48,8192,1,2,1,2
5120,64,8192,1,2,1,2
5120,80,8192,1,2,1,2
5120,96,8192,1,2,2,1
5120,112,8192,1,2,2,1
5120,128,8192,1,2,2,1
5120,144,8192,1,2,2,1
5120,160,8192,1,2,2,1
5120,176,8192,1,2,2,1
5120,192,8192,1,2,2,1
5120,208,8192,1,2,2,1
5120,224,8192,1,2,2,1
5120,240,8192,2,128,48,128
5120,256,8192,1,2,2,1
28672,16,8192,1,2,1,3
28672,32,8192,1,2,1,2
28672,48,8192,1,2,1,1
28672,64,8192,1,2,1,1
28672,80,8192,1,2,1,1
28672,96,8192,1,2,2,1
28672,112,8192,1,2,2,1
28672,128,8192,1,2,2,1
28672,144,8192,1,2,3,1
28672,160,8192,1,2,3,1
28672,176,8192,1,2,3,1
28672,192,8192,1,2,3,1
28672,208,8192,1,2,2,1
28672,224,8192,1,2,2,1
28672,240,8192,1,2,2,1
28672,256,8192,1,2,2,1
1024,16,5120,1,1,1,4
1024,32,5120,1,1,2,3
1024,48,5120,1,1,3,4
1024,64,5120,1,1,2,3
1024,80,5120,1,1,2,3
1024,96,5120,1,1,2,3
1024,112,5120,1,1,3,2
1024,128,5120,1,1,2,3
1024,144,5120,1,1,3,2
1024,160,5120,1,1,2,3
1024,176,5120,2,64,32,128
1024,192,5120,2,64,32,128
1024,208,5120,2,64,48,128
1024,224,5120,2,64,48,128
1024,240,5120,2,64,48,128
1024,256,5120,2,64,48,128
128,16,5120,1,1,1,4
128,32,5120,1,1,4,4
128,48,5120,1,1,4,4
128,64,5120,1,1,4,3
128,80,5120,1,1,4,4
128,96,5120,1,1,4,4
128,112,5120,1,1,4,4
128,128,5120,1,1,4,4
128,144,5120,1,1,4,4
128,160,5120,1,1,4,4
128,176,5120,1,1,4,4
128,192,5120,1,1,4,4
128,208,5120,1,1,4,4
128,224,5120,1,1,4,4
128,240,5120,1,1,4,4
128,256,5120,1,1,4,4
5120,16,1024,2,64,16,128
5120,32,1024,1,1,1,1
5120,48,1024,2,64,48,128
5120,64,1024,2,64,64,128
5120,80,1024,1,2,2,1
5120,96,1024,1,2,2,1
5120,112,1024,1,2,2,1
5120,128,1024,1,2,4,1
5120,144,1024,1,2,2,1
5120,160,1024,1,2,2,1
5120,176,1024,1,2,2,1
5120,192,1024,1,2,2,1
5120,208,1024,1,2,2,1
5120,224,1024,1,2,2,1
5120,240,1024,1,2,2,1
5120,256,1024,1,2,4,1
3200,16,5120,1,1,1,4
3200,32,5120,1,1,1,4
3200,48,5120,1,1,1,4
3200,64,5120,1,2,2,4
3200,80,5120,1,2,2,4
3200,96,5120,1,2,2,4
3200,112,5120,2,64,64,128
3200,128,5120,1,1,2,1
3200,144,5120,1,2,3,4
3200,160,5120,1,2,4,1
3200,176,5120,1,2,4,1
3200,192,5120,1,2,4,1
3200,208,5120,1,2,4,1
3200,224,5120,1,2,4,1
3200,240,5120,1,2,4,1
3200,256,5120,1,2,4,1
5120,16,3200,1,1,1,2
5120,32,3200,2,64,32,128
5120,48,3200,1,1,1,1
5120,64,3200,2,64,64,128
5120,80,3200,1,1,2,1
5120,96,3200,2,64,48,128
5120,112,3200,1,1,2,1
5120,128,3200,1,1,2,1
5120,144,3200,1,1,3,1
5120,160,3200,1,2,2,1
5120,176,3200,1,1,3,1
5120,192,3200,1,1,3,1
5120,208,3200,1,1,2,1
5120,224,3200,1,1,2,1
5120,240,3200,1,1,2,1
5120,256,3200,1,1,2,1
1280,16,5120,1,1,1,4
1280,32,5120,1,1,1,4
1280,48,5120,1,1,3,3
1280,64,5120,1,1,2,2
1280,80,5120,1,1,3,3
1280,96,5120,1,1,3,3
1280,112,5120,1,1,4,1
1280,128,5120,1,1,4,1
1280,144,5120,2,64,32,128
1280,160,5120,2,64,32,128
1280,176,5120,2,64,48,128
1280,192,5120,1,1,4,1
1280,208,5120,2,64,48,128
1280,224,5120,2,64,48,128
1280,240,5120,2,64,48,128
1280,256,5120,1,1,4,1
6400,16,5120,1,2,1,4
6400,32,5120,1,1,1,1
6400,48,5120,1,1,1,1
6400,64,5120,1,1,1,1
6400,80,5120,1,2,2,1
6400,96,5120,1,2,2,1
6400,112,5120,1,2,2,1
6400,128,5120,1,2,2,1
6400,144,5120,1,2,2,1
6400,160,5120,1,2,2,1
6400,176,5120,1,2,2,1
6400,192,5120,1,2,2,1
6400,208,5120,1,2,2,1
6400,224,5120,1,2,2,1
6400,240,5120,1,2,2,1
6400,256,5120,1,2,4,1
